date,iso,nominal,rate,rate_per_unit
2000-01-01,CNY,10,32.61,3.261
2000-02-01,CNY,10,34.49,3.4490000000000003
2000-03-01,CNY,10,34.62,3.4619999999999997
2000-04-01,CNY,10,34.38,3.438
2000-05-01,CNY,10,34.34,3.434
2000-06-01,CNY,10,34.13,3.4130000000000003
2000-07-01,CNY,10,33.91,3.3909999999999996
2000-08-01,CNY,10,33.58,3.3579999999999997
2000-09-01,CNY,10,33.51,3.351
2000-10-01,CNY,10,33.52,3.3520000000000003
2000-11-01,CNY,10,33.62,3.3619999999999997
2000-12-01,CNY,10,33.64,3.364
2001-01-01,CNY,10,34.02,3.402
2001-02-01,CNY,10,34.27,3.4270000000000005
2001-03-01,CNY,10,34.7,3.47
2001-04-01,CNY,10,34.74,3.474
2001-05-01,CNY,10,34.83,3.4829999999999997
2001-06-01,CNY,10,35.15,3.5149999999999997
2001-07-01,CNY,10,35.17,3.5170000000000003
2001-08-01,CNY,10,35.36,3.536
2001-09-01,CNY,10,35.48,3.5479999999999996
2001-10-01,CNY,10,35.52,3.5520000000000005
2001-11-01,CNY,10,35.88,3.588
2001-12-01,CNY,10,36.12,3.6119999999999997
2002-01-01,CNY,10,36.4117,3.6411700000000002
2002-02-01,CNY,10,37.0744,3.7074399999999996
2002-03-01,CNY,10,37.3673,3.73673
2002-04-01,CNY,10,37.5361,3.7536099999999997
2002-05-01,CNY,10,37.6903,3.76903
2002-06-01,CNY,10,37.8265,3.7826500000000003
2002-07-01,CNY,10,37.9827,3.79827
2002-08-01,CNY,10,37.9863,3.79863
2002-09-01,CNY,10,38.1485,3.81485
2002-10-01,CNY,10,38.2204,3.82204
2002-11-01,CNY,10,38.3473,3.8347299999999995
2002-12-01,CNY,10,38.4671,3.8467100000000003
2003-01-01,CNY,10,38.399,3.8399
2003-02-01,CNY,10,38.4484,3.84484
2003-03-01,CNY,10,38.1475,3.81475
2003-04-01,CNY,10,37.9111,3.7911099999999998
2003-05-01,CNY,10,37.574,3.7573999999999996
2003-06-01,CNY,10,37.0543,3.70543
2003-07-01,CNY,10,36.6649,3.6664900000000005
2003-08-01,CNY,10,36.5569,3.65569
2003-09-01,CNY,10,36.8534,3.68534
2003-10-01,CNY,10,36.9838,3.6983800000000002
2003-11-01,CNY,10,36.0748,3.6074800000000002
2003-12-01,CNY,10,35.9267,3.5926699999999996
2004-01-01,CNY,10,35.586,3.5585999999999998
2004-02-01,CNY,10,34.4222,3.44222
2004-03-01,CNY,10,34.4461,3.44461
2004-04-01,CNY,10,34.4146,3.44146
2004-05-01,CNY,10,34.8968,3.48968
2004-06-01,CNY,10,35.0196,3.5019599999999995
2004-07-01,CNY,10,35.0204,3.50204
2004-08-01,CNY,10,35.1453,3.5145299999999997
2004-09-01,CNY,10,35.3338,3.5333799999999997
2004-10-01,CNY,10,35.3008,3.5300800000000003
2004-11-01,CNY,10,34.7711,3.4771099999999997
2004-12-01,CNY,10,34.1167,3.41167
2005-01-01,CNY,10,33.5271,3.3527099999999996
2005-02-01,CNY,10,33.9328,3.39328
2005-03-01,CNY,10,33.5574,3.35574
2005-04-01,CNY,10,33.62,3.3619999999999997
2005-05-01,CNY,10,33.5818,3.35818
2005-06-01,CNY,10,33.9418,3.39418
2005-07-01,CNY,10,34.6428,3.46428
2005-08-01,CNY,10,35.3536,3.53536
2005-09-01,CNY,10,35.2608,3.5260800000000003
2005-10-01,CNY,10,35.223,3.5223
2005-11-01,CNY,10,35.1591,3.5159100000000003
2005-12-01,CNY,10,35.5602,3.55602
2006-01-01,CNY,10,35.6705,3.5670499999999996
2006-02-01,CNY,10,34.8823,3.48823
2006-03-01,CNY,10,34.9749,3.49749
2006-04-01,CNY,10,34.5951,3.4595100000000003
2006-05-01,CNY,10,34.1258,3.4125799999999997
2006-05-11,CNY,10,33.7674,3.37674
2006-05-12,CNY,10,33.8253,3.38253
2006-05-13,CNY,10,33.6536,3.36536
2006-05-16,CNY,10,33.616,3.3616
2006-05-17,CNY,10,33.7024,3.37024
2006-05-18,CNY,10,33.6793,3.36793
2006-05-19,CNY,10,33.7927,3.37927
2006-05-20,CNY,10,33.6873,3.36873
2006-05-23,CNY,10,33.7756,3.37756
2006-05-24,CNY,10,33.6428,3.36428
2006-05-25,CNY,10,33.6763,3.36763
2006-05-26,CNY,10,33.6818,3.36818
2006-05-27,CNY,10,33.6821,3.36821
2006-05-30,CNY,10,33.7274,3.37274
2006-05-31,CNY,10,33.6098,3.36098
2006-06-01,CNY,10,33.5545,3.35545
2006-06-02,CNY,10,33.6934,3.36934
2006-06-03,CNY,10,33.518,3.3518
2006-06-06,CNY,10,33.3403,3.33403
2006-06-07,CNY,10,33.3451,3.33451
2006-06-08,CNY,10,33.4661,3.34661
2006-06-09,CNY,10,33.4934,3.34934
2006-06-10,CNY,10,33.6946,3.36946
2006-06-14,CNY,10,33.8291,3.38291
2006-06-15,CNY,10,33.8441,3.38441
2006-06-16,CNY,10,33.7919,3.37919
2006-06-17,CNY,10,33.7307,3.37307
