date,iso,nominal,rate,rate_per_unit
2000-12-01,TJS,1,12.66,12.66
2001-01-01,TJS,1,12.8,12.8
2001-02-01,TJS,1,12.07,12.07
2001-03-01,TJS,1,12.22,12.22
2001-04-01,TJS,1,12.24,12.24
2001-05-01,TJS,1,12.27,12.27
2001-06-01,TJS,1,12.38,12.38
2001-07-01,TJS,1,12.39,12.39
2001-08-01,TJS,1,12.46,12.46
2001-09-01,TJS,1,12.24,12.24
2001-10-01,TJS,1,12.25,12.25
2001-11-01,TJS,1,12.38,12.38
2001-12-01,TJS,1,12.06,12.06
2002-01-01,TJS,1,11.8185,11.8185
2002-02-01,TJS,1,12.0333,12.0333
2002-03-01,TJS,1,11.6707,11.6707
2002-04-01,TJS,1,11.5928,11.5928
2002-05-01,TJS,1,11.633,11.633
2002-06-01,TJS,1,11.5862,11.5862
2002-07-01,TJS,1,11.6264,11.6264
2002-08-01,TJS,1,11.5904,11.5904
2002-09-01,TJS,1,11.3373,11.3373
2002-10-01,TJS,1,11.0114,11.0114
2002-11-01,TJS,1,10.7498,10.7498
2002-12-01,TJS,1,10.7834,10.7834
2003-01-01,TJS,1,10.5948,10.5948
2003-02-01,TJS,1,10.4833,10.4833
2003-03-01,TJS,1,10.2921,10.2921
2003-04-01,TJS,1,10.205,10.205
2003-05-01,TJS,1,11.167,11.167
2003-06-01,TJS,10,99.2528,9.925279999999999
2003-07-01,TJS,10,98.2146,9.82146
2003-08-01,TJS,10,97.9022,9.79022
2003-09-01,TJS,10,98.7172,9.87172
2003-10-01,TJS,10,99.0676,9.90676
2003-11-01,TJS,10,97.7554,9.77554
2003-12-01,TJS,10,99.4545,9.94545
2004-01-01,TJS,10,99.6262,9.96262
2004-02-01,TJS,10,96.6899,9.668989999999999
2004-03-01,TJS,10,98.3138,9.83138
2004-04-01,TJS,10,97.9651,9.796510000000001
2004-05-01,TJS,10,99.1875,9.91875
2004-06-01,TJS,10,99.1245,9.91245
2004-07-01,TJS,10,97.711,9.7711
2004-08-01,TJS,10,97.0575,9.70575
2004-09-01,TJS,10,96.4122,9.64122
2004-10-01,TJS,10,96.5472,9.654720000000001
