date,iso,nominal,rate,rate_per_unit
2000-01-01,UZS,100,19.29,0.1929
2000-02-01,UZS,100,20.12,0.20120000000000002
2000-03-01,UZS,100,19.94,0.19940000000000002
2000-04-01,UZS,100,19.34,0.1934
2000-05-01,UZS,100,19.03,0.19030000000000002
2000-06-01,UZS,100,11.89,0.1189
2000-07-01,UZS,100,10.99,0.1099
2000-08-01,UZS,100,10.06,0.10060000000000001
2000-09-01,UZS,100,9.59,0.0959
2000-10-01,UZS,100,9.27,0.09269999999999999
2000-11-01,UZS,100,9.11,0.0911
2000-12-01,UZS,100,8.81,0.08810000000000001
2001-01-01,UZS,100,8.66,0.0866
2001-02-01,UZS,1000,86.22,0.08622
2001-03-01,UZS,1000,85.85,0.08585
2001-04-01,UZS,1000,84.6,0.0846
2001-05-01,UZS,1000,83.04,0.08304
2001-06-01,UZS,1000,81.88,0.08188
2001-07-01,UZS,1000,77.47,0.07747
2001-08-01,UZS,1000,73.58,0.07357999999999999
2001-09-01,UZS,1000,70.32,0.07032
2001-10-01,UZS,1000,69.02,0.06902
2001-11-01,UZS,1000,68.72,0.06872
2001-12-01,UZS,1000,43.75,0.04375
2002-01-01,UZS,1000,43.8041,0.0438041
2002-02-01,UZS,1000,44.2708,0.0442708
2002-03-01,UZS,1000,44.6083,0.0446083
2002-04-01,UZS,1000,44.6786,0.044678600000000006
2002-05-01,UZS,1000,44.1299,0.0441299
2002-06-01,UZS,1000,42.9989,0.0429989
2002-07-01,UZS,1000,41.9159,0.0419159
2002-08-01,UZS,1000,41.3006,0.0413006
2002-09-01,UZS,1000,40.4655,0.0404655
2002-10-01,UZS,1000,39.1653,0.0391653
2002-11-01,UZS,1000,36.0466,0.0360466
2002-12-01,UZS,1000,34.6079,0.034607900000000004
2003-01-01,UZS,1000,33.4946,0.0334946
2003-02-01,UZS,1000,33.135,0.033135
2003-03-01,UZS,1000,32.7245,0.0327245
2003-04-01,UZS,1000,32.351,0.032351
2003-05-01,UZS,1000,32.1404,0.0321404
2003-06-01,UZS,1000,31.5818,0.0315818
2003-07-01,UZS,1000,31.1584,0.0311584
2003-08-01,UZS,1000,31.054,0.031054
2003-09-01,UZS,1000,31.3253,0.0313253
2003-10-01,UZS,1000,31.4087,0.0314087
2003-11-01,UZS,1000,30.6089,0.030608899999999998
2003-12-01,UZS,1000,30.4351,0.0304351
2004-01-01,UZS,1000,30.0743,0.0300743
2004-02-01,UZS,1000,28.9369,0.0289369
2004-03-01,UZS,1000,28.7624,0.0287624
2004-04-01,UZS,1000,28.4853,0.028485299999999998
2004-05-01,UZS,1000,28.7128,0.0287128
2004-06-01,UZS,1000,28.6339,0.0286339
2004-07-01,UZS,1000,28.4574,0.0284574
2004-08-01,UZS,1000,28.3946,0.0283946
2004-09-01,UZS,1000,28.2905,0.028290500000000003
2004-10-01,UZS,1000,28.0934,0.028093399999999998
2004-11-01,UZS,1000,27.5264,0.0275264
2004-12-01,UZS,1000,26.866,0.026866
2005-01-01,UZS,1000,26.2275,0.0262275
2005-02-01,UZS,1000,26.4215,0.0264215
2005-03-01,UZS,1000,25.9903,0.0259903
2005-04-01,UZS,1000,25.7644,0.0257644
2005-05-01,UZS,1000,25.5605,0.0255605
2005-06-01,UZS,1000,25.4781,0.0254781
2005-07-01,UZS,1000,25.7149,0.0257149
2005-08-01,UZS,1000,25.5908,0.0255908
2005-09-01,UZS,1000,25.2445,0.0252445
2005-10-01,UZS,1000,24.999,0.024999
2005-11-01,UZS,1000,24.6733,0.024673300000000002
2005-12-01,UZS,1000,24.6031,0.024603100000000003
2006-01-01,UZS,1000,24.3983,0.024398299999999998
2006-02-01,UZS,1000,23.696,0.023696000000000002
2006-03-01,UZS,1000,23.4278,0.023427800000000002
2006-04-01,UZS,1000,22.9443,0.022944299999999997
2006-05-01,UZS,1000,22.4107,0.0224107
2006-06-01,UZS,1000,22.0844,0.022084399999999997
2006-07-01,UZS,1000,22.0009,0.0220009
2006-08-01,UZS,1000,21.9034,0.0219034
2006-08-31,UZS,1000,21.7648,0.0217648
2006-09-30,UZS,1000,21.7515,0.0217515
2006-10-31,UZS,1000,21.702,0.021702000000000003
2006-11-30,UZS,1000,21.3007,0.0213007
2006-12-30,UZS,1000,21.2733,0.0212733
2007-01-31,UZS,1000,21.3879,0.021387899999999998
2007-02-28,UZS,1000,21.0418,0.0210418
2007-03-31,UZS,1000,20.8152,0.020815200000000002
2007-04-30,UZS,1000,20.5187,0.020518699999999997
2007-05-31,UZS,1000,20.5535,0.0205535
2007-06-30,UZS,1000,20.3922,0.0203922
2007-07-31,UZS,1000,20.1232,0.0201232
2007-08-31,UZS,1000,20.1691,0.0201691
2007-09-30,UZS,1000,19.5775,0.0195775
2007-10-31,UZS,1000,19.3057,0.019305700000000002
2007-11-30,UZS,1000,18.9555,0.0189555
2007-12-29,UZS,1000,19.0998,0.019099799999999997
2008-01-31,UZS,1000,18.9117,0.0189117
2008-02-29,UZS,1000,18.6771,0.0186771
2008-03-31,UZS,1000,18.0897,0.0180897
2008-04-30,UZS,1000,18.1021,0.0181021
2008-05-31,UZS,1000,18.1001,0.0181001
2008-06-30,UZS,1000,17.9745,0.017974499999999997
2008-07-31,UZS,1000,17.7608,0.0177608
2008-08-31,UZS,1000,18.7119,0.0187119
2008-09-30,UZS,1000,19.0077,0.0190077
2008-10-31,UZS,1000,20.2703,0.020270299999999998
2008-11-30,UZS,1000,20.2317,0.0202317
2008-12-31,UZS,1000,21.0513,0.021051300000000002
2009-01-31,UZS,1000,24.7656,0.0247656
2009-02-28,UZS,1000,25.363,0.025363
2009-03-31,UZS,1000,23.4108,0.0234108
2009-04-30,UZS,1000,23.1482,0.0231482
2009-05-31,UZS,1000,21.1266,0.0211266
2009-06-30,UZS,1000,21.0177,0.0210177
2009-07-31,UZS,1000,21.096,0.021096
2009-08-31,UZS,1000,21.1289,0.021128900000000003
2009-09-30,UZS,1000,20.1595,0.0201595
2009-10-31,UZS,1000,19.5172,0.0195172
2009-11-30,UZS,1000,19.779,0.019779
2009-12-31,UZS,1000,19.7566,0.0197566
2010-01-12,UZS,1000,19.4426,0.0194426
2010-01-13,UZS,1000,19.409,0.019409
2010-01-14,UZS,1000,19.583,0.019583
2010-01-15,UZS,1000,19.4436,0.0194436
2010-01-16,UZS,1000,19.4874,0.0194874
2010-01-19,UZS,1000,19.5112,0.0195112
2010-01-20,UZS,1000,19.4598,0.0194598
2010-01-21,UZS,1000,19.5258,0.0195258
2010-01-22,UZS,1000,19.5617,0.0195617
2010-01-23,UZS,1000,19.5598,0.0195598
2010-01-26,UZS,1000,19.7892,0.0197892
2010-01-27,UZS,1000,19.9332,0.0199332
2010-01-28,UZS,1000,19.8763,0.0198763
2010-01-29,UZS,1000,19.9229,0.0199229
2010-01-30,UZS,1000,19.9676,0.0199676
2010-02-02,UZS,1000,19.9469,0.0199469
2010-02-03,UZS,1000,19.8047,0.0198047
2010-02-04,UZS,1000,19.5618,0.0195618
2010-02-05,UZS,1000,19.6453,0.0196453
2010-02-06,UZS,1000,19.9472,0.0199472
2010-02-09,UZS,1000,19.9794,0.0199794
2010-02-10,UZS,1000,19.8863,0.0198863
2010-02-11,UZS,1000,19.8029,0.0198029
2010-02-12,UZS,1000,19.6797,0.0196797
2010-02-13,UZS,1000,19.7026,0.0197026
2010-02-16,UZS,1000,19.7425,0.0197425
2010-02-17,UZS,1000,19.6752,0.0196752
2010-02-18,UZS,1000,19.5828,0.0195828
2010-02-19,UZS,1000,19.629,0.019629
2010-02-20,UZS,1000,19.6532,0.0196532
2010-02-25,UZS,1000,19.5342,0.0195342
2010-02-26,UZS,1000,19.548,0.019548
2010-02-27,UZS,1000,19.5393,0.0195393
2010-02-28,UZS,1000,19.4805,0.0194805
2010-03-02,UZS,1000,19.4686,0.0194686
2010-03-03,UZS,1000,19.4658,0.0194658
2010-03-04,UZS,1000,19.3594,0.0193594
2010-03-05,UZS,1000,19.3644,0.0193644
2010-03-06,UZS,1000,19.374,0.019374
2010-03-10,UZS,1000,19.3177,0.0193177
2010-03-11,UZS,1000,19.3015,0.0193015
2010-03-12,UZS,1000,19.1265,0.0191265
2010-03-13,UZS,1000,19.0424,0.0190424
2010-03-16,UZS,1000,19.0072,0.0190072
2010-03-17,UZS,1000,19.0203,0.0190203
2010-03-18,UZS,1000,18.8706,0.0188706
2010-03-19,UZS,1000,18.8898,0.0188898
2010-03-20,UZS,1000,18.9119,0.0189119
2010-03-23,UZS,1000,18.9652,0.0189652
2010-03-24,UZS,1000,19.0503,0.0190503
2010-03-25,UZS,1000,19.1187,0.0191187
2010-03-26,UZS,1000,19.128,0.019128
2010-03-27,UZS,1000,19.0358,0.0190358
2010-03-30,UZS,1000,19.111,0.019111
2010-03-31,UZS,1000,18.8993,0.0188993
2010-04-01,UZS,1000,18.9841,0.0189841
2010-04-02,UZS,1000,18.9479,0.0189479
2010-04-03,UZS,1000,18.8063,0.0188063
2010-04-06,UZS,1000,18.764,0.018764
2010-04-07,UZS,1000,18.7845,0.0187845
2010-04-08,UZS,1000,18.8181,0.0188181
2010-04-09,UZS,1000,18.8864,0.0188864
2010-04-10,UZS,1000,18.8369,0.0188369
2010-04-13,UZS,1000,18.5925,0.0185925
2010-04-14,UZS,1000,18.6085,0.0186085
2010-04-15,UZS,1000,18.6181,0.0186181
2010-04-16,UZS,1000,18.5454,0.0185454
2010-04-17,UZS,1000,18.6105,0.0186105
2010-04-20,UZS,1000,18.7158,0.0187158
2010-04-21,UZS,1000,18.6393,0.0186393
2010-04-22,UZS,1000,18.6089,0.0186089
2010-04-23,UZS,1000,18.6334,0.0186334
2010-04-24,UZS,1000,18.7264,0.0187264
2010-04-27,UZS,1000,18.6074,0.0186074
2010-04-28,UZS,1000,18.5908,0.0185908
2010-04-29,UZS,1000,18.756,0.018756
2010-04-30,UZS,1000,18.6976,0.0186976
2010-05-01,UZS,1000,18.6114,0.0186114
2010-05-05,UZS,1000,18.7037,0.0187037
2010-05-06,UZS,1000,18.9482,0.0189482
2010-05-07,UZS,1000,19.3414,0.0193414
2010-05-08,UZS,1000,19.6109,0.0196109
2010-05-12,UZS,1000,19.3476,0.0193476
2010-05-13,UZS,1000,19.2106,0.0192106
2010-05-14,UZS,1000,18.9911,0.0189911
2010-05-15,UZS,1000,19.1169,0.0191169
2010-05-18,UZS,1000,19.5246,0.0195246
2010-05-19,UZS,1000,19.2907,0.0192907
2010-05-20,UZS,1000,19.4815,0.0194815
2010-05-21,UZS,1000,19.5177,0.0195177
2010-05-22,UZS,1000,19.7115,0.0197115
2010-05-25,UZS,1000,19.5958,0.0195958
2010-05-26,UZS,1000,19.9474,0.0199474
2010-05-27,UZS,1000,19.8584,0.0198584
2010-05-28,UZS,1000,19.5574,0.0195574
2010-05-29,UZS,1000,19.3148,0.0193148
2010-06-01,UZS,1000,19.4696,0.0194696
2010-06-02,UZS,1000,19.6788,0.0196788
2010-06-03,UZS,1000,19.7124,0.0197124
2010-06-04,UZS,1000,19.5252,0.0195252
2010-06-05,UZS,1000,19.6356,0.0196356
2010-06-08,UZS,1000,20.0852,0.0200852
2010-06-09,UZS,1000,19.9426,0.0199426
2010-06-10,UZS,1000,20.0121,0.0200121
2010-06-11,UZS,1000,19.9137,0.0199137
2010-06-12,UZS,1000,19.8336,0.0198336
2010-06-16,UZS,1000,19.7936,0.0197936
2010-06-17,UZS,1000,19.603,0.019603
2010-06-18,UZS,1000,19.6211,0.0196211
2010-06-19,UZS,1000,19.4315,0.0194315
2010-06-22,UZS,1000,19.3325,0.0193325
2010-06-23,UZS,1000,19.404,0.019404
2010-06-24,UZS,1000,19.4501,0.0194501
2010-06-25,UZS,1000,19.4787,0.0194787
2010-06-26,UZS,1000,19.5171,0.0195171
2010-06-29,UZS,1000,19.4588,0.0194588
2010-06-30,UZS,1000,19.5582,0.0195582
2010-07-01,UZS,1000,19.5959,0.0195959
2010-07-02,UZS,1000,19.6679,0.0196679
2010-07-03,UZS,1000,19.5575,0.0195575
2010-07-06,UZS,1000,19.5062,0.0195062
2010-07-07,UZS,1000,19.4731,0.0194731
2010-07-08,UZS,1000,19.4605,0.0194605
2010-07-09,UZS,1000,19.3702,0.0193702
2010-07-10,UZS,1000,19.2746,0.0192746
2010-07-13,UZS,1000,19.3291,0.0193291
2010-07-14,UZS,1000,19.3116,0.0193116
2010-07-15,UZS,1000,19.08,0.01908
2010-07-16,UZS,1000,19.0943,0.0190943
2010-07-17,UZS,1000,19.0315,0.0190315
2010-07-20,UZS,1000,19.1018,0.0191018
2010-07-21,UZS,1000,18.9967,0.0189967
2010-07-22,UZS,1000,18.968,0.018968
